Sample Name,CN
GSM494556,C
GSM494557,C
GSM494558,C
GSM494559,C
GSM494560,C
GSM494561,C
GSM494562,C
GSM494563,C
GSM494564,C
GSM494565,C
GSM494566,C
GSM494567,C
GSM494568,C
GSM494569,C
GSM494570,C
GSM494571,C
GSM494572,C
GSM494573,C
GSM494574,C
GSM494575,C
GSM494576,C
GSM494577,C
GSM494578,C
GSM494579,C
GSM494580,C
GSM494581,C
GSM494582,C
GSM494583,C
GSM494584,C
GSM494585,C
GSM494586,C
GSM494587,C
GSM494588,C
GSM494589,C
GSM494590,C
GSM494591,C
GSM494592,C
GSM494593,C
GSM494594,C
GSM494595,C
GSM494596,C
GSM494597,C
GSM494598,C
GSM494599,C
GSM494600,C
GSM494601,C
GSM494602,C
GSM494603,C
GSM494604,C
GSM494605,C
GSM494606,C
GSM494607,C
GSM494608,C
GSM494609,C
GSM494610,C
GSM494611,C
GSM494612,C
GSM494613,C
GSM494614,C
GSM494615,C
GSM494616,N
GSM494617,N
GSM494618,N
GSM494619,N
GSM494620,N
GSM494621,N
GSM494622,N
GSM494623,N
GSM494624,N
GSM494625,N
GSM494626,N
GSM494627,N
GSM494628,N
GSM494629,N
GSM494630,N
GSM494631,N
GSM494632,N
GSM494633,N
GSM494634,N
GSM494635,N
GSM494636,N
GSM494637,N
GSM494638,N
GSM494639,N
GSM494640,N
GSM494641,N
GSM494642,N
GSM494643,N
GSM494644,N
GSM494645,N
GSM494646,N
GSM494647,N
GSM494648,N
GSM494649,N
GSM494650,N
GSM494651,N
GSM494652,N
GSM494653,N
GSM494654,N
GSM494655,N
GSM494656,N
GSM494657,N
GSM494658,N
GSM494659,N
GSM494660,N
GSM494661,N
GSM494662,N
GSM494663,N
GSM494664,N
GSM494665,N
GSM494666,N
GSM494667,N
GSM494668,N
GSM494669,N
GSM494670,N
GSM494671,N
GSM494672,N
GSM494673,N
GSM494674,N
GSM494675,N
